"state","year","quarter","district","registered_user","app_open"
"andaman-&-nicobar-islands",2018,1,"north and middle andaman ","632","0"
"andaman-&-nicobar-islands",2018,1,"outh andaman ","5846","0"
"andaman-&-nicobar-islands",2018,1,"nicobars ","262","0"
"andaman-&-nicobar-islands",2018,2,"north and middle andaman ","911","0"
"andaman-&-nicobar-islands",2018,2,"outh andaman ","8143","0"
"andaman-&-nicobar-islands",2018,2,"nicobars ","351","0"
"andaman-&-nicobar-islands",2018,3,"north and middle andaman ","1208","0"
"andaman-&-nicobar-islands",2018,3,"outh andaman ","10474","0"
"andaman-&-nicobar-islands",2018,3,"nicobars ","467","0"
"andaman-&-nicobar-islands",2018,4,"north and middle andaman ","1553","0"
"andaman-&-nicobar-islands",2018,4,"outh andaman ","13133","0"
"andaman-&-nicobar-islands",2018,4,"nicobars ","536","0"
"andaman-&-nicobar-islands",2019,1,"north and middle andaman ","2013","0"
"andaman-&-nicobar-islands",2019,1,"outh andaman ","15961","0"
"andaman-&-nicobar-islands",2019,1,"nicobars ","622","0"
"andaman-&-nicobar-islands",2019,2,"north and middle andaman ","2417","6118"
"andaman-&-nicobar-islands",2019,2,"outh andaman ","18621","43569"
"andaman-&-nicobar-islands",2019,2,"nicobars ","693","2953"
"andaman-&-nicobar-islands",2019,3,"north and middle andaman ","2662","22064"
"andaman-&-nicobar-islands",2019,3,"outh andaman ","20518","138190"
"andaman-&-nicobar-islands",2019,3,"nicobars ","751","10853"
"andaman-&-nicobar-islands",2019,4,"north and middle andaman ","2955","26253"
"andaman-&-nicobar-islands",2019,4,"outh andaman ","22202","139646"
"andaman-&-nicobar-islands",2019,4,"nicobars ","803","11113"
"andaman-&-nicobar-islands",2020,1,"north and middle andaman ","3315","30444"
"andaman-&-nicobar-islands",2020,1,"outh andaman ","24174","151529"
"andaman-&-nicobar-islands",2020,1,"nicobars ","879","11613"
"andaman-&-nicobar-islands",2020,2,"north and middle andaman ","4100","56992"
"andaman-&-nicobar-islands",2020,2,"outh andaman ","27626","231071"
"andaman-&-nicobar-islands",2020,2,"nicobars ","984","17009"
"andaman-&-nicobar-islands",2020,3,"north and middle andaman ","5355","76553"
"andaman-&-nicobar-islands",2020,3,"outh andaman ","34833","417785"
"andaman-&-nicobar-islands",2020,3,"nicobars ","1147","21227"
"andaman-&-nicobar-islands",2020,4,"north and middle andaman ","7076","125915"
"andaman-&-nicobar-islands",2020,4,"outh andaman ","43908","725321"
"andaman-&-nicobar-islands",2020,4,"nicobars ","1412","35972"
"andaman-&-nicobar-islands",2021,1,"north and middle andaman ","7833","121680"
"andaman-&-nicobar-islands",2021,1,"outh andaman ","48352","837589"
"andaman-&-nicobar-islands",2021,1,"nicobars ","1573","45067"
"andaman-&-nicobar-islands",2021,2,"north and middle andaman ","8493","596182"
"andaman-&-nicobar-islands",2021,2,"outh andaman ","51903","1270226"
"andaman-&-nicobar-islands",2021,2,"nicobars ","1699","381815"
"andaman-&-nicobar-islands",2021,3,"north and middle andaman ","9263","759314"
"andaman-&-nicobar-islands",2021,3,"outh andaman ","55873","1771107"
"andaman-&-nicobar-islands",2021,3,"nicobars ","1846","591204"
"andaman-&-nicobar-islands",2021,4,"north and middle andaman ","10002","171921"
"andaman-&-nicobar-islands",2021,4,"outh andaman ","59807","1863037"
"andaman-&-nicobar-islands",2021,4,"nicobars ","1971","77952"
"andaman-&-nicobar-islands",2022,1,"north and middle andaman ","10720","904869"
"andaman-&-nicobar-islands",2022,1,"outh andaman ","63487","2368756"
"andaman-&-nicobar-islands",2022,1,"nicobars ","2081","573782"
"andaman-&-nicobar-islands",2022,2,"north and middle andaman ","11379","963824"
"andaman-&-nicobar-islands",2022,2,"outh andaman ","66959","3404740"
"andaman-&-nicobar-islands",2022,2,"nicobars ","2192","811449"
"andaman-&-nicobar-islands",2022,3,"north and middle andaman ","11897","1176567"
"andaman-&-nicobar-islands",2022,3,"outh andaman ","70445","3607286"
"andaman-&-nicobar-islands",2022,3,"nicobars ","2300","1284501"
"andaman-&-nicobar-islands",2022,4,"north and middle andaman ","12361","313502"
"andaman-&-nicobar-islands",2022,4,"outh andaman ","73692","3881359"
"andaman-&-nicobar-islands",2022,4,"nicobars ","2389","159232"
"andaman-&-nicobar-islands",2023,1,"north and middle andaman ","12941","3103047"
"andaman-&-nicobar-islands",2023,1,"outh andaman ","77052","5450795"
"andaman-&-nicobar-islands",2023,1,"nicobars ","2491","2458822"
"andaman-&-nicobar-islands",2023,2,"north and middle andaman ","13600","3174229"
"andaman-&-nicobar-islands",2023,2,"outh andaman ","80112","6884657"
"andaman-&-nicobar-islands",2023,2,"nicobars ","2617","4679790"
"andhra-pradesh",2018,1,"east godavari ","350356","0"
"andhra-pradesh",2018,1,"kakulam ","143839","0"
"andhra-pradesh",2018,1,"visakhapatnam ","497187","0"
"andhra-pradesh",2018,1,"prakasam ","189949","0"
"andhra-pradesh",2018,1,"anantapur ","241192","0"
"andhra-pradesh",2018,1,"kurnool ","240133","0"
"andhra-pradesh",2018,1,"guntur ","317065","0"
"andhra-pradesh",2018,1,"krishna ","323673","0"
"andhra-pradesh",2018,1,"psr nellore ","194475","0"
"andhra-pradesh",2018,1,"vizianagaram ","128905","0"
"andhra-pradesh",2018,1,"ysr ","186800","0"
"andhra-pradesh",2018,1,"west godavari ","213335","0"
"andhra-pradesh",2018,1,"hittoor ","309541","0"
"andhra-pradesh",2018,2,"east godavari ","454398","0"
"andhra-pradesh",2018,2,"kakulam ","186913","0"
"andhra-pradesh",2018,2,"visakhapatnam ","636052","0"
"andhra-pradesh",2018,2,"prakasam ","253458","0"
"andhra-pradesh",2018,2,"anantapur ","326383","0"
"assam",2019,1,"achar ","64241","0"
"andhra-pradesh",2018,2,"kurnool ","319313","0"
"andhra-pradesh",2018,2,"guntur ","420326","0"
"andhra-pradesh",2018,2,"krishna ","431965","0"
"andhra-pradesh",2018,2,"psr nellore ","261049","0"
"andhra-pradesh",2018,2,"vizianagaram ","167327","0"
"andhra-pradesh",2018,2,"ysr ","248657","0"
"andhra-pradesh",2018,2,"west godavari ","282393","0"
"andhra-pradesh",2018,2,"hittoor ","414306","0"
"andhra-pradesh",2018,3,"east godavari ","558982","0"
"andhra-pradesh",2018,3,"kakulam ","228456","0"
"andhra-pradesh",2018,3,"visakhapatnam ","769096","0"
"andhra-pradesh",2018,3,"prakasam ","314899","0"
"andhra-pradesh",2018,3,"anantapur ","405855","0"
"andhra-pradesh",2018,3,"kurnool ","394311","0"
"andhra-pradesh",2018,3,"guntur ","518931","0"
"andhra-pradesh",2018,3,"krishna ","537086","0"
"andhra-pradesh",2018,3,"psr nellore ","322446","0"
"andhra-pradesh",2018,3,"vizianagaram ","203655","0"
"andhra-pradesh",2018,3,"ysr ","308391","0"
"andhra-pradesh",2018,3,"west godavari ","349782","0"
"andhra-pradesh",2018,3,"hittoor ","515727","0"
"andhra-pradesh",2018,4,"east godavari ","694455","0"
"andhra-pradesh",2018,4,"kakulam ","284874","0"
"andhra-pradesh",2018,4,"visakhapatnam ","978288","0"
"andhra-pradesh",2018,4,"prakasam ","394962","0"
"andhra-pradesh",2018,4,"anantapur ","510892","0"
"andhra-pradesh",2018,4,"kurnool ","498582","0"
"andhra-pradesh",2018,4,"guntur ","659552","0"
